date,value,drought_score
20000101,0.0,-0.30323418426930443
20000102,0.0,-0.30323418426930443
20000103,0.3,-0.23314573943207378
20000104,1.68,0.08926110681918722
20000105,5.92,1.0798444605187139
20000106,1.37,0.016836380487382247
20000107,0.76,-0.12567679068165344
20000108,0.2,-0.25650855437781733
20000109,0.24,-0.2471634283995199
20000110,0.2,-0.25650855437781733
20000111,2.61,0.30653528581460227
20000112,2.75,0.33924322673864327
20000113,4.06,0.6452961025278837
20000114,0.87,-0.09997769424133554
20000115,0.07,-0.28688021380728396
20000116,0.01,-0.3008979027747301
20000117,0.0,-0.30323418426930443
20000118,0.61,-0.16072101310026876
20000119,1.66,0.0845885438300385
20000120,0.96,-0.07895116079016634
20000121,4.95,0.8532251555450014
20000122,4.63,0.778464147718622
20000123,1.63,0.07757969934631544
20000124,6.03,1.1055435569590317
20000125,1.82,0.12196904774322823
20000126,0.37,-0.2167917689700533
20000127,0.01,-0.3008979027747301
20000128,0.0,-0.30323418426930443
20000129,0.0,-0.30323418426930443
20000130,0.0,-0.30323418426930443
20000131,0.0,-0.30323418426930443
20000201,0.0,-0.30323418426930443
20000202,0.0,-0.30323418426930443
20000203,0.04,-0.29388905829100703
20000204,0.3,-0.23314573943207378
20000205,3.87,0.600906754130971
20000206,1.88,0.13598673671067432
20000207,0.1,-0.2798713693235609
20000208,0.06,-0.2892164953018583
20000209,0.0,-0.30323418426930443
20000210,0.25,-0.24482714690494556
20000211,0.51,-0.1840838280460123
20000212,1.97,0.15701327016184352
20000213,8.64,1.7153130270429386
20000214,12.59,2.638144217399809
20000215,12.03,2.5073124537036446
20000216,2.73,0.3345706637494945
20000217,28.61,6.380867171707926
20000218,2.43,0.2644822189122639
20000219,3.01,0.3999865455975764
20000220,9.95,2.0213659028321787
20000221,7.63,1.4793485960909285
20000222,2.9,0.37428744915725853
20000223,1.03,-0.06259719032814584
20000224,1.56,0.061225728884294985
20000225,0.21,-0.254172272883243
20000226,1.44,0.033190350949402696
20000227,23.73,5.24076180235564
20000228,8.77,1.745684686472405
20000229,4.1,0.6546412285061811
20000301,4.42,0.7294022363325605
20000302,0.0,-0.30323418426930443
20000303,1.5,0.04720803991684884
20000304,3.07,0.41400423456502256
20000305,1.6,0.07057085486259242
20000306,2.41,0.2598096559231152
20000307,0.05,-0.29155277679643266
20000308,0.0,-0.30323418426930443
20000309,0.0,-0.30323418426930443
20000310,0.0,-0.30323418426930443
20000311,0.01,-0.3008979027747301
20000312,1.09,-0.0485795013606997
20000313,0.6,-0.16305729459484314
20000314,0.02,-0.29856162128015573
20000315,0.68,-0.14436704263824826
20000316,0.56,-0.17240242057314054
20000317,0.0,-0.30323418426930443
20000318,0.0,-0.30323418426930443
20000319,0.19,-0.2588448358723917
20000320,5.24,0.9209773188876578
20000321,0.54,-0.17707498356228926
20000322,25.08,5.556159804123179
20000323,6.7,1.2620744170955136
20000324,12.54,2.6264628099269367
20000325,4.71,0.7971543996752168
20000326,3.2,0.4443758939944893
20000327,5.37,0.9513489783171243
20000328,5.12,0.8929419409527655
20000329,1.28,-0.004190152963786968
20000330,0.22,-0.25183599138866863
20000331,0.84,-0.10698653872505862
20000401,1.53,0.054216884400571916
20000402,2.74,0.33690694524406894
20000403,2.28,0.2294379964936485
20000404,0.27,-0.24015458391579683
20000405,0.0,-0.30323418426930443
20000406,0.0,-0.30323418426930443
20000407,0.0,-0.30323418426930443
20000408,0.0,-0.30323418426930443
20000409,0.0,-0.30323418426930443
20000410,0.0,-0.30323418426930443
20000411,1.83,0.12430532923780258
20000412,0.13,-0.27286252483983786
20000413,0.03,-0.29622533978558135
20000414,2.16,0.20140261855875632
20000415,0.99,-0.07194231630644328
20000416,0.69,-0.14203076114367394
20000417,2.67,0.32055297478204836
20000418,4.82,0.8228534961155348
20000419,5.48,0.9770480747574423
20000420,3.88,0.6032430356255454
20000421,0.0,-0.30323418426930443
20000422,0.0,-0.30323418426930443
20000423,0.0,-0.30323418426930443
20000424,0.0,-0.30323418426930443
20000425,0.0,-0.30323418426930443
20000426,0.0,-0.30323418426930443
20000427,0.0,-0.30323418426930443
20000428,0.63,-0.15604845011112006
20000429,1.42,0.028517787960253983
20000430,1.68,0.08926110681918722
20000501,3.55,0.5261457463045917
20000502,2.06,0.17803980361301275
20000503,0.0,-0.30323418426930443
20000504,0.0,-0.30323418426930443
20000505,0.0,-0.30323418426930443
20000506,0.17,-0.2635173988615404
20000507,3.17,0.43736704951076616
20000508,2.04,0.17336724062386402
20000509,0.0,-0.30323418426930443
20000510,0.0,-0.30323418426930443
20000511,0.0,-0.30323418426930443
20000512,0.0,-0.30323418426930443
20000513,0.27,-0.24015458391579683
20000514,2.48,0.27616362638513564
20000515,0.05,-0.29155277679643266
20000516,0.0,-0.30323418426930443
20000517,0.0,-0.30323418426930443
20000518,0.0,-0.30323418426930443
20000519,0.0,-0.30323418426930443
20000520,0.0,-0.30323418426930443
20000521,0.0,-0.30323418426930443
20000522,0.0,-0.30323418426930443
20000523,0.0,-0.30323418426930443
20000524,0.0,-0.30323418426930443
20000525,0.0,-0.30323418426930443
20000526,0.0,-0.30323418426930443
20000527,0.0,-0.30323418426930443
20000528,0.0,-0.30323418426930443
20000529,0.0,-0.30323418426930443
20000530,0.0,-0.30323418426930443
20000531,0.0,-0.30323418426930443
20000601,0.0,-0.30323418426930443
20000602,0.0,-0.30323418426930443
20000603,0.0,-0.30323418426930443
20000604,0.0,-0.30323418426930443
20000605,0.0,-0.30323418426930443
20000606,0.0,-0.30323418426930443
20000607,0.01,-0.3008979027747301
20000608,0.0,-0.30323418426930443
20000609,0.0,-0.30323418426930443
20000610,0.0,-0.30323418426930443
20000611,0.0,-0.30323418426930443
20000612,0.0,-0.30323418426930443
20000613,0.0,-0.30323418426930443
20000614,0.0,-0.30323418426930443
20000615,0.0,-0.30323418426930443
20000616,0.0,-0.30323418426930443
20000617,0.0,-0.30323418426930443
20000618,0.0,-0.30323418426930443
20000619,0.0,-0.30323418426930443
20000620,0.0,-0.30323418426930443
20000621,0.0,-0.30323418426930443
20000622,0.0,-0.30323418426930443
20000623,0.0,-0.30323418426930443
20000624,0.0,-0.30323418426930443
20000625,0.0,-0.30323418426930443
20000626,0.0,-0.30323418426930443
20000627,0.0,-0.30323418426930443
20000628,0.0,-0.30323418426930443
20000629,0.0,-0.30323418426930443
20000630,0.0,-0.30323418426930443
20000701,0.0,-0.30323418426930443
20000702,0.0,-0.30323418426930443
20000703,0.0,-0.30323418426930443
20000704,0.0,-0.30323418426930443
20000705,0.0,-0.30323418426930443
20000706,0.0,-0.30323418426930443
20000707,0.0,-0.30323418426930443
20000708,0.0,-0.30323418426930443
20000709,0.0,-0.30323418426930443
20000710,0.0,-0.30323418426930443
20000711,0.0,-0.30323418426930443
20000712,0.0,-0.30323418426930443
20000713,0.0,-0.30323418426930443
20000714,0.0,-0.30323418426930443
20000715,0.0,-0.30323418426930443
20000716,0.0,-0.30323418426930443
20000717,0.0,-0.30323418426930443
20000718,0.0,-0.30323418426930443
20000719,0.0,-0.30323418426930443
20000720,0.0,-0.30323418426930443
20000721,0.0,-0.30323418426930443
20000722,0.0,-0.30323418426930443
20000723,0.0,-0.30323418426930443
20000724,0.0,-0.30323418426930443
20000725,0.0,-0.30323418426930443
20000726,0.0,-0.30323418426930443
20000727,0.0,-0.30323418426930443
20000728,0.0,-0.30323418426930443
20000729,0.0,-0.30323418426930443
20000730,0.0,-0.30323418426930443
20000731,0.0,-0.30323418426930443
20000801,0.0,-0.30323418426930443
20000802,0.0,-0.30323418426930443
20000803,0.0,-0.30323418426930443
20000804,0.0,-0.30323418426930443
20000805,0.0,-0.30323418426930443
20000806,0.0,-0.30323418426930443
20000807,0.0,-0.30323418426930443
20000808,0.0,-0.30323418426930443
20000809,0.0,-0.30323418426930443
20000810,0.0,-0.30323418426930443
20000811,0.0,-0.30323418426930443
20000812,0.0,-0.30323418426930443
20000813,0.0,-0.30323418426930443
20000814,0.0,-0.30323418426930443
20000815,0.0,-0.30323418426930443
20000816,0.0,-0.30323418426930443
20000817,0.0,-0.30323418426930443
20000818,0.0,-0.30323418426930443
20000819,0.0,-0.30323418426930443
20000820,0.0,-0.30323418426930443
20000821,0.0,-0.30323418426930443
20000822,0.0,-0.30323418426930443
20000823,0.0,-0.30323418426930443
20000824,0.1,-0.2798713693235609
20000825,0.0,-0.30323418426930443
20000826,0.0,-0.30323418426930443
20000827,0.0,-0.30323418426930443
20000828,0.0,-0.30323418426930443
20000829,0.0,-0.30323418426930443
20000830,0.0,-0.30323418426930443
20000831,0.0,-0.30323418426930443
20000901,0.0,-0.30323418426930443
20000902,0.0,-0.30323418426930443
20000903,0.0,-0.30323418426930443
20000904,0.0,-0.30323418426930443
20000905,0.0,-0.30323418426930443
20000906,0.0,-0.30323418426930443
20000907,0.0,-0.30323418426930443
20000908,0.0,-0.30323418426930443
20000909,0.0,-0.30323418426930443
20000910,0.0,-0.30323418426930443
20000911,0.0,-0.30323418426930443
20000912,0.0,-0.30323418426930443
20000913,0.0,-0.30323418426930443
20000914,0.03,-0.29622533978558135
20000915,0.02,-0.29856162128015573
20000916,0.0,-0.30323418426930443
20000917,0.0,-0.30323418426930443
20000918,0.0,-0.30323418426930443
20000919,0.0,-0.30323418426930443
20000920,0.0,-0.30323418426930443
20000921,0.0,-0.30323418426930443
20000922,0.0,-0.30323418426930443
20000923,0.0,-0.30323418426930443
20000924,0.0,-0.30323418426930443
20000925,0.0,-0.30323418426930443
20000926,0.0,-0.30323418426930443
20000927,0.0,-0.30323418426930443
20000928,0.0,-0.30323418426930443
20000929,0.0,-0.30323418426930443
20000930,0.0,-0.30323418426930443
20001001,0.0,-0.30323418426930443
20001002,0.01,-0.3008979027747301
20001003,0.0,-0.30323418426930443
20001004,0.0,-0.30323418426930443
20001005,0.0,-0.30323418426930443
20001006,0.0,-0.30323418426930443
20001007,0.0,-0.30323418426930443
20001008,0.03,-0.29622533978558135
20001009,0.0,-0.30323418426930443
20001010,0.03,-0.29622533978558135
20001011,1.03,-0.06259719032814584
20001012,0.01,-0.3008979027747301
20001013,0.03,-0.29622533978558135
20001014,0.02,-0.29856162128015573
20001015,1.43,0.03085406945482834
20001016,0.27,-0.24015458391579683
20001017,0.01,-0.3008979027747301
20001018,0.0,-0.30323418426930443
20001019,0.0,-0.30323418426930443
20001020,0.0,-0.30323418426930443
20001021,2.75,0.33924322673864327
20001022,4.88,0.8368711850829809
20001023,0.38,-0.21445548747547893
20001024,0.0,-0.30323418426930443
20001025,0.51,-0.1840838280460123
20001026,1.4,0.023845224971105267
20001027,0.07,-0.28688021380728396
20001028,0.0,-0.30323418426930443
20001029,0.0,-0.30323418426930443
20001030,0.0,-0.30323418426930443
20001031,0.0,-0.30323418426930443
20001101,0.0,-0.30323418426930443
20001102,0.03,-0.29622533978558135
20001103,0.0,-0.30323418426930443
20001104,0.0,-0.30323418426930443
20001105,0.09,-0.2822076508181352
20001106,0.1,-0.2798713693235609
20001107,0.0,-0.30323418426930443
20001108,0.0,-0.30323418426930443
20001109,0.09,-0.2822076508181352
20001110,0.0,-0.30323418426930443
20001111,0.0,-0.30323418426930443
20001112,0.0,-0.30323418426930443
20001113,0.0,-0.30323418426930443
20001114,0.0,-0.30323418426930443
20001115,0.0,-0.30323418426930443
20001116,0.0,-0.30323418426930443
20001117,0.0,-0.30323418426930443
20001118,0.0,-0.30323418426930443
20001119,0.0,-0.30323418426930443
20001120,0.0,-0.30323418426930443
20001121,0.0,-0.30323418426930443
20001122,0.06,-0.2892164953018583
20001123,0.07,-0.28688021380728396
20001124,0.08,-0.2845439323127096
20001125,0.04,-0.29388905829100703
20001126,0.11,-0.2775350878289865
20001127,0.0,-0.30323418426930443
20001128,0.0,-0.30323418426930443
20001129,0.05,-0.29155277679643266
20001130,11.12,2.2947108376973784
20001201,0.48,-0.19109267252973539
20001202,0.68,-0.14436704263824826
20001203,0.93,-0.08596000527388939
20001204,2.18,0.20607518154790502
20001205,0.72,-0.13502191665995086
20001206,1.73,0.10094251429205901
20001207,1.74,0.10327879578663336
20001208,0.06,-0.2892164953018583
20001209,0.03,-0.29622533978558135
20001210,0.0,-0.30323418426930443
20001211,0.0,-0.30323418426930443
