Survey_Year,Strict_Unemployment_Pct,Broad_Unemployment_Pct,Labour_Force_Population,Unemployed_Persons,Youth_Unemployment_Est_Pct,Source,Survey_Date
2016,34.0,43.0,750000,255000,40.0,NSA Labour Force Survey,2016
2018,33.4,42.0,780000,260520,39.0,NSA Labour Force Survey,2018
2023,36.9,54.8,867247,320442,45.0,NSA Labour Force Survey,2023-01-29
