date,value
2025,1.73018153842335
2024,3.77851723267591
2023,4.32498048866805
2022,5.3987247803654
2021,3.60382919248703
2020,-8.10140201443319
2019,-0.839152163419357
2018,1.05993949860752
2017,-1.02724808856709
2016,0.0337944502063294
2015,4.26417453763675
2014,6.09251915977956
2013,5.61471962254485
2012,5.0616820696264
2011,5.09133813864338
2010,6.03924947955858
2009,0.295970914001089
2008,2.64981203780268
2007,5.37404415167634
2006,7.07317531845825
2005,2.52926265819022
2004,12.2695481036769
2003,4.23979429582137
2002,4.7886612188211
2001,1.17794869467917
2000,3.49218336365178
