date,value
2025,19.291
2024,19.157
2023,19.154
2022,19.615
2021,20.931
2020,21.003
2019,19.929
2018,19.877
2017,21.748
2016,23.352
2015,20.791
2014,18.521
2013,19.028
2012,16.771
2011,19.481
2010,22.12
2009,22.271
2008,22.005
2007,22.12
2006,21.848
2005,22.108
2004,22.09
2003,22.104
2002,21.538
2001,21.009
2000,20.3
