date,value
2025,3092816
2024,3030131
2023,2963095
2022,2889662
2021,2810548
2020,2728762
2019,2650494
2018,2577327
2017,2506853
2016,2439213
2015,2374300
2014,2312139
2013,2252508
2012,2194654
2011,2146325
2010,2109811
2009,2077394
2008,2047056
2007,2018600
2006,1991888
2005,1966582
2004,1942082
2003,1917464
2002,1889970
2001,1857048
2000,1818647
