date,value_rain,rain_anomaly,rain_z,value_temp,temp_anomaly,temp_z,climate_risk_index
20000101,0.0,-1.2979351374118142,-0.30323418426930443,20.67,1.2811066652627154,0.2662851236250648,0.2847596539471846
20000102,0.0,-1.2979351374118142,-0.30323418426930443,20.71,1.3211066652627146,0.27459934540988246,0.28891676483959344
20000103,0.3,-0.9979351374118142,-0.23314573943207378,24.45,5.061106665262713,1.0519790822903492,0.6425624108612115
20000104,1.68,0.3820648625881857,0.08926110681918722,24.88,5.491106665262713,1.1413569664771408,0.615309036648164
20000105,5.92,4.622064862588186,1.0798444605187139,21.87,2.4811066652627147,0.5157117771695996,0.7977781188441567
20000106,1.37,0.0720648625881859,0.016836380487382247,20.71,1.3211066652627146,0.27459934540988246,0.14571786294863234
20000107,0.76,-0.5379351374118142,-0.12567679068165344,21.89,2.5011066652627143,0.5198688880620084,0.3227728393718309
20000108,0.2,-1.0979351374118143,-0.25650855437781733,22.69,3.301106665262715,0.6861533237583651,0.4713309390680912
20000109,0.24,-1.0579351374118142,-0.2471634283995199,23.19,3.801106665262715,0.790081096068588,0.5186222622340539
20000110,0.2,-1.0979351374118143,-0.25650855437781733,23.08,3.691106665262712,0.7672169861603383,0.5118627702690778
20000111,2.61,1.3120648625881857,0.30653528581460227,22.5,3.1111066652627137,0.6466607702804802,0.47659802804754126
20000112,2.75,1.4520648625881858,0.33924322673864327,22.82,3.431106665262714,0.7131745445590228,0.5262088856488331
20000113,4.06,2.7620648625881854,0.6452961025278837,23.64,4.251106665262714,0.8836160911477884,0.764456096837836
20000114,0.87,-0.4279351374118142,-0.09997769424133554,23.09,3.7011066652627136,0.7692955416065431,0.4346366179239393
20000115,0.07,-1.2279351374118141,-0.28688021380728396,22.7,3.311106665262713,0.6882318792045692,0.48755604650592654
20000116,0.01,-1.2879351374118142,-0.3008979027747301,22.15,2.7611066652627123,0.5739113296633238,0.43740461621902693
20000117,0.0,-1.2979351374118142,-0.30323418426930443,21.97,2.5811066652627126,0.5364973316316437,0.4198657579504741
20000118,0.61,-0.6879351374118142,-0.16072101310026876,22.98,3.591106665262714,0.7464314316982942,0.45357622239928147
